jurirno,brkrNm,ldCodeNm,registDe,mnnmadr,estbsBeginDe,estbsEndDe,sttusSeCode,bsnmCmpnm,등록번호,거래완료,등록매물,총매물수,영업년수,일평균거래,구평균성사율,구평균매물수,지역권평균성사율,지역권평균매물수,보증보험유효,영업일수,거래성사율,지역권평균거래,trust_target,등록비율,규모지수,지역내백분위,지역중개사수,거래효율성,매물활용도,지역경쟁력,상대적성과,log_거래완료,log_총매물수,predicted_score,actual_grade,final_temperature,final_grade
11620-2025-00100,최채영,서울특별시 관악구,2025-08-14,서울특별시 관악구 신림동 1409-13,2025-08-21,2026-08-20,1,우주부동산중개사무소,11620-2025-00100,35,30,65,0.2876712328767123,0.3097345105333229,15736.739130434782,15813.27536231884,15736.739130434782,15813.27536231884,1,113,0.538461530177515,15736.739130434782,34.25119101065867,0.46153845443786995,4.189654742026425,0.2463768115942029,69,1.166666627777779,0.538461530177515,0.5072463694601975,0.002224094820895014,3.58351893845611,4.189654742026425,51.82644164887168,C,0.0013333638319647028,C
11620-2022-00136,박상진,서울특별시 관악구,2022-08-02,서울특별시 관악구 신림동 1423-13,2025-08-05,2026-08-04,1,DH공인중개사사무소,11620-2022-00136,0,10,10,0.3315068493150685,0.0,15736.739130434782,15813.27536231884,15736.739130434782,15813.27536231884,1,1221,0.0,15736.739130434782,1.0,0.99999990000001,2.3978952727983707,0.07971014492753623,69,0.0,0.0,0.0,0.0,0.0,2.3978952727983707,-37.82161715280858,D,0.0008017479143350483,D
11740-2025-00002,홍슬미,서울특별시 강동구,2025-01-06,서울특별시 강동구 암사동 513-41,2025-01-08,2026-01-07,1,링크공인중개사사무소,11740-2025-00002,539,62,601,0.9041095890410958,1.6186186137579022,974.6666666666666,994.7777777777778,974.6666666666666,994.7777777777778,1,333,0.896838600837207,974.6666666666666,259.69134416269526,0.10316139749889951,6.400257445308821,0.7777777777777778,9,8.693548246878255,0.896838600837207,59.88888223456865,0.5530095753560094,6.29156913955832,6.400257445308821,419.5467346768826,B,0.003513957183590823,A
11320-2024-00015,정미선,서울특별시 도봉구,2024-06-11,서울특별시 도봉구 쌍문동 100-15,2025-06-11,2026-06-10,1,OK공인중개사사무소,11320202400015,42,32,74,0.4821917808219178,0.07749077476477717,17.0,38.333333333333336,17.0,38.333333333333336,1,542,0.5675675598977357,17.0,35.60193454457985,0.43243242658875103,4.31748811353631,1.0,3,1.3124999589843764,0.5675675598977357,13.999995333334889,2.4705880899654065,3.7612001156935624,4.31748811353631,123.20371914257721,C,0.0017566334195044115,B
11620-2022-00213,김민규,서울특별시 구로구,2022-12-23,서울특별시 구로구 가리봉동 134-82,2025-02-10,2026-02-09,1,파란부동산중개,11620-2022-00213,3168,129,3297,0.8136986301369863,2.9387755074779447,2139.5714285714284,2194.1428571428573,2139.5714285714284,2194.1428571428573,1,1078,0.9608735210916368,2139.5714285714284,1326.4139607075288,0.039126478605057184,8.101071503119543,0.7142857142857143,7,24.558139344510547,0.9608735210916368,452.57136391837656,1.4806703605284977,8.06117135969092,8.101071503119543,1474.4395040176873,A,0.00976950577070076,A
92480000-01170,박이배,서울특별시 관악구,1999-09-11,서울특별시 관악구 봉천동 458-74,2025-09-15,2026-09-14,1,대경공인중개사사무소,92480000-04277,0,36,36,0.2191780821917808,0.0,15736.739130434782,15813.27536231884,15736.739130434782,15813.27536231884,1,9582,0.0,15736.739130434782,1.0,0.999999972222223,3.6109179126442243,0.07971014492753623,69,0.0,0.0,0.0,0.0,0.0,3.6109179126442243,-86.84446195449263,D,0.0005110408430116597,D
92480000-04277,이한우,서울특별시 관악구,2010-07-27,서울특별시 관악구 봉천동 480-3,2025-07-27,2026-07-26,1,대경공인중개사사무소,92480000-04277,0,36,36,0.3561643835616438,0.0,15736.739130434782,15813.27536231884,15736.739130434782,15813.27536231884,1,5610,0.0,15736.739130434782,1.0,0.999999972222223,3.6109179126442243,0.07971014492753623,69,0.0,0.0,0.0,0.0,0.0,3.6109179126442243,-65.33000978954068,D,0.0006386222472590416,D
11380-2023-00088,김재은,서울특별시 은평구,2023-06-14,서울특별시 은평구 대조동 196-5,2025-06-13,2026-06-12,1,행복공인중개사사무소,11380-2023-00088,14,19,33,0.4767123287671233,0.015469613242575012,6890.545454545455,6915.727272727273,6890.545454545455,6915.727272727273,1,905,0.42424241138659363,6890.545454545455,19.48196847402356,0.5757575583103771,3.5263605246161616,0.09090909090909091,11,0.7368420664819965,0.42424241138659363,1.272727157024804,0.0020317694862215753,2.70805020110221,3.5263605246161616,-34.001082061158556,D,0.0008244038122511084,D
11680-2018-00457,이원석,서울특별시 강남구,2018-10-22,서울특별시 강남구 논현동 123-10,2025-10-23,2026-10-22,1,원스톤부동산중개,11680-2018-00457,135,10,145,0.1150684931506849,0.05190311416689615,5373.442307692308,5450.538461538462,5373.442307692308,5450.538461538462,1,2601,0.9310344763376933,5373.442307692308,83.45006543179976,0.06896551676575506,4.983606621708336,0.4230769230769231,52,13.499998650000135,0.9310344763376933,2.596153796227812,0.025123559953666625,4.912654885736052,4.983606621708336,111.60522340385839,C,0.001687853960833667,C
11305-2023-00069,최원철,서울특별시 강북구,2023-11-07,서울특별시 강북구 수유동 404-26,2025-11-07,2026-11-06,1,우주공인중개사사무소,11305-2023-00069,273,20,293,0.073972602739726,0.3596837939925115,2350.714285714286,2376.714285714286,2350.714285714286,2376.714285714286,1,759,0.9317406111544689,2350.714285714286,141.74905627455917,0.06825938543256183,5.683579767338681,0.42857142857142855,7,13.649999317500033,0.9317406111544689,38.99999442857222,0.11613491335077822,5.6131281063880705,5.683579767338681,167.98479165468788,B,0.0020221866425656075,B
